,size
0,0.034781455993652344
1,0.023599624633789062
2,0.9740123748779297
3,0.002391815185546875
4,0.0036935806274414062
5,0.000202178955078125
6,0.005825996398925781
7,7.534027099609375e-05
8,0.0037775039672851562
9,0.024169921875
10,4.291534423828125e-05
11,0.13630199432373047
12,0.009535789489746094
13,0.012795448303222656
14,0.0020036697387695312
15,0.00390625
16,0.020673751831054688
17,0.002208709716796875
18,0.023186683654785156
19,0.18658161163330078
20,0.7536449432373047
21,0.0031232833862304688
22,0.0011806488037109375
23,0.004740715026855469
24,1.0071220397949219
25,0.007334709167480469
26,0.39831066131591797
27,0.00089263916015625
28,0.057826995849609375
29,0.001560211181640625
30,0.08003997802734375
31,0.008997917175292969
32,0.0011501312255859375
33,0.10532093048095703
34,0.01215362548828125
35,0.024883270263671875
36,0.001407623291015625
37,0.0011415481567382812
38,0.008480072021484375
39,0.02950572967529297
40,0.027609825134277344
41,0.0023365020751953125
42,0.00905609130859375
43,0.0016727447509765625
44,0.0090484619140625
45,0.04736328125
46,0.003925323486328125
47,0.020021438598632812
48,27.99917221069336
49,0.037227630615234375
50,0.016244888305664062
51,0.000759124755859375
52,0.10859298706054688
53,0.00042629241943359375
54,0.00052642822265625
55,0.0004949569702148438
56,0.0013036727905273438
57,0.00036907196044921875
58,0.8399009704589844
59,0.062450408935546875
60,0.45438289642333984
61,0.008402824401855469
62,0.004372596740722656
63,0.006907463073730469
64,0.0002117156982421875
65,0.05325794219970703
66,0.005541801452636719
67,0.00531005859375
68,0.010895729064941406
69,0.012098312377929688
70,0.004962921142578125
71,0.010450363159179688
72,0.000720977783203125
73,0.0012874603271484375
74,0.0015773773193359375
75,0.055518150329589844
76,0.0010728836059570312
77,0.0030374526977539062
78,0.0004138946533203125
79,0.04549407958984375
80,0.008927345275878906
81,0.027794837951660156
82,0.3030405044555664
83,0.0013370513916015625
84,0.0007658004760742188
85,0.0029468536376953125
86,0.0069942474365234375
87,0.12046432495117188
88,0.020112991333007812
89,0.014958381652832031
90,0.00391387939453125
91,0.000179290771484375
92,0.0009088516235351562
93,0.013886451721191406
94,0.12075328826904297
95,0.046204566955566406
96,0.0001697540283203125
97,0.015169143676757812
98,0.006984710693359375
99,0.0026426315307617188
100,0.1264486312866211
101,0.0011262893676757812
102,1.7068052291870117
103,0.023453712463378906
104,0.018766403198242188
105,0.0003986358642578125
106,2.880446434020996
107,0.00038051605224609375
108,0.0010023117065429688
109,0.0128936767578125
110,0.009381294250488281
111,0.0006351470947265625
112,0.03415679931640625
113,0.07744026184082031
114,0.057994842529296875
115,1.7709121704101562
116,0.027454376220703125
117,0.00852203369140625
118,0.0055446624755859375
119,0.0009098052978515625
120,0.0048980712890625
121,0.006096839904785156
122,0.00873565673828125
123,0.019127845764160156
124,0.010021209716796875
125,0.03355216979980469
126,0.13252830505371094
127,0.11394214630126953
128,0.007481575012207031
129,0.033843040466308594
130,0.0013418197631835938
131,0.0024099349975585938
132,0.050629615783691406
133,0.05705547332763672
134,0.0017518997192382812
135,0.0008325576782226562
136,0.0848855972290039
137,0.1269693374633789
138,0.0013227462768554688
139,0.03294181823730469
140,0.10615921020507812
141,0.0005664825439453125
142,0.0005388259887695312
143,0.0012178421020507812
144,0.012096405029296875
145,0.016097068786621094
146,0.043021202087402344
147,0.003078460693359375
148,2.088804244995117
149,0.0010013580322265625
150,0.03230762481689453
151,0.013079643249511719
152,0.00032711029052734375
153,0.05986213684082031
154,0.0014171600341796875
155,0.005549430847167969
156,0.0049495697021484375
157,0.005927085876464844
158,0.13441944122314453
159,0.0010471343994140625
160,0.03883075714111328
161,0.2403278350830078
162,0.16010570526123047
163,0.0037469863891601562
164,0.0053272247314453125
165,0.00431060791015625
166,0.000400543212890625
167,0.00042819976806640625
168,0.000759124755859375
169,0.00743865966796875
170,0.0024671554565429688
171,0.021480560302734375
172,0.19992733001708984
173,0.031194686889648438
174,0.0009908676147460938
175,0.1005859375
176,0.2717437744140625
177,0.0043125152587890625
178,0.012453079223632812
179,0.00075531005859375
180,0.000789642333984375
181,0.0006303787231445312
182,0.023700714111328125
183,0.00037288665771484375
184,0.0017843246459960938
185,0.0010890960693359375
186,0.0654296875
187,0.06311416625976562
188,0.018355369567871094
189,0.01139068603515625
190,4.100799560546875e-05
191,0.2644786834716797
192,0.3143930435180664
193,0.0065975189208984375
194,0.007050514221191406
195,0.0009136199951171875
196,0.0002079010009765625
197,0.0023908615112304688
198,0.0028066635131835938
199,1.1444091796875e-05
200,0.004643440246582031
201,0.0026693344116210938
202,0.018627166748046875
203,0.0008535385131835938
204,0.04676342010498047
205,0.007796287536621094
206,0.021209716796875
207,0.007816314697265625
208,0.07754039764404297
209,0.00390625
210,0.05827617645263672
211,0.008542060852050781
212,0.014771461486816406
213,0.061202049255371094
214,0.0020236968994140625
215,0.022157669067382812
216,0.0777435302734375
217,0.001220703125
218,0.013189315795898438
219,0.017482757568359375
220,0.052552223205566406
221,0.004366874694824219
222,0.0083465576171875
223,0.0010089874267578125
224,0.14949417114257812
225,0.007273674011230469
226,0.0049228668212890625
227,0.3349628448486328
228,0.0017261505126953125
229,0.07522106170654297
230,0.018123626708984375
231,0.0005502700805664062
232,0.0015878677368164062
233,0.0012845993041992188
234,0.00030422210693359375
235,0.006320953369140625
236,0.000225067138671875
237,0.009415626525878906
238,0.000682830810546875
239,0.33860301971435547
240,0.0009517669677734375
241,0.00093841552734375
242,0.008227348327636719
243,0.01971435546875
244,0.006199836730957031
245,0.014330863952636719
246,0.7747650146484375
247,0.00533294677734375
248,0.0049571990966796875
249,0.06112957000732422
250,0.0009870529174804688
251,0.014719009399414062
252,0.4062919616699219
253,4.986274719238281
254,0.05710124969482422
255,0.0013885498046875
256,0.20310497283935547
257,0.07849597930908203
258,0.12254047393798828
259,0.011868476867675781
260,0.0083160400390625
261,0.004666328430175781
262,0.00042057037353515625
263,2.5376081466674805
264,0.0042266845703125
265,0.00012683868408203125
266,0.0063114166259765625
267,0.00015544891357421875
268,0.0006494522094726562
269,0.0026369094848632812
270,0.018438339233398438
271,0.0028162002563476562
272,0.0006618499755859375
273,0.00017833709716796875
274,0.000148773193359375
275,0.0069484710693359375
276,0.0019636154174804688
277,0.058048248291015625
278,0.04924201965332031
279,0.0037393569946289062
280,0.00051116943359375
281,0.393768310546875
282,0.0016164779663085938
283,0.00423431396484375
284,0.004962921142578125
285,0.22527790069580078
286,0.6098775863647461
287,0.000705718994140625
288,0.008694648742675781
289,0.07708358764648438
290,0.0022497177124023438
291,0.00146484375
292,0.024240493774414062
293,0.12987518310546875
294,0.0009450912475585938
295,0.003933906555175781
296,0.052718162536621094
297,0.0006465911865234375
298,0.0006275177001953125
299,0.001708984375
300,0.0230865478515625
301,0.0009164810180664062
302,0.023529052734375
303,0.005093574523925781
304,0.05234718322753906
305,0.000431060791015625
306,0.033692359924316406
307,1.003617286682129
308,0.06704521179199219
309,0.29583740234375
310,0.00072479248046875
311,6.0791015625
312,0.6560325622558594
313,0.0132598876953125
314,0.0014600753784179688
315,0.00078582763671875
316,0.008586883544921875
317,0.701258659362793
318,0.03336620330810547
319,0.0054264068603515625
320,0.08428001403808594
321,0.04364299774169922
322,28.701172828674316
323,0.005859375
324,0.00047588348388671875
325,0.0010461807250976562
326,0.0007476806640625
327,0.005425453186035156
328,3.0517578125e-05
329,8.534727096557617
330,0.5042686462402344
331,0.003070831298828125
332,0.025310516357421875
333,0.11216449737548828
334,0.00013637542724609375
335,0.07953739166259766
336,0.0023069381713867188
337,0.182220458984375
338,0.009426116943359375
339,0.00023937225341796875
340,0.3343343734741211
341,0.004031181335449219
342,0.00295257568359375
343,0.00681304931640625
344,0.02373027801513672
345,1.7315845489501953
346,0.00018787384033203125
347,0.0004062652587890625
348,1.504420280456543
349,0.015560150146484375
350,0.00032901763916015625
351,0.0011959075927734375
352,0.0006895065307617188
353,0.000186920166015625
354,0.031183242797851562
355,0.000152587890625
356,0.045952796936035156
357,0.004467964172363281
358,0.06287670135498047
359,0.014855384826660156
360,0.0070362091064453125
361,0.014571189880371094
362,0.0026874542236328125
363,0.0015163421630859375
364,0.0062923431396484375
365,0.0011415481567382812
366,0.032210350036621094
367,1.2975025177001953
368,0.2528076171875
369,0.2908458709716797
370,0.0012083053588867188
371,0.29186439514160156
372,0.0002288818359375
373,0.02292156219482422
374,0.07357406616210938
375,0.00919342041015625
376,0.007830619812011719
377,0.00030803680419921875
378,0.005898475646972656
379,0.001216888427734375
380,0.08237743377685547
381,22.082565307617188
382,0.087127685546875
383,0.007496833801269531
384,0.09369754791259766
385,0.0025186538696289062
386,0.0873727798461914
387,0.019666671752929688
388,0.0007123947143554688
389,0.009284019470214844
390,0.0015707015991210938
391,0.0008525848388671875
392,0.0023441314697265625
393,0.004077911376953125
394,0.012912750244140625
395,0.05419921875
396,0.00018405914306640625
397,0.003875732421875
398,0.00504302978515625
399,0.014312744140625
400,0.000835418701171875
401,0.0005903244018554688
402,0.00043010711669921875
403,0.000354766845703125
404,0.008302688598632812
405,0.0008878707885742188
406,0.0035028457641601562
407,0.0006151199340820312
408,5.340576171875e-05
409,0.03038501739501953
410,0.0017347335815429688
411,0.06429672241210938
412,0.00174713134765625
413,1.0752601623535156
414,0.789729118347168
415,0.0310211181640625
416,0.00036907196044921875
417,0.00035858154296875
418,0.5527877807617188
419,0.0082855224609375
420,0.015684127807617188
421,0.0014362335205078125
422,0.0011005401611328125
423,0.11730003356933594
424,1.0830821990966797
425,0.0010662078857421875
426,0.0049285888671875
427,0.004925727844238281
428,0.1018991470336914
429,0.0012121200561523438
430,0.14458274841308594
431,0.0020647048950195312
432,0.029275894165039062
433,0.0003108978271484375
434,0.00102996826171875
435,0.0084228515625
436,0.0204010009765625
437,0.00201416015625
438,0.0020618438720703125
439,0.021514892578125
440,0.00030803680419921875
441,0.06021595001220703
442,0.000743865966796875
